symbol,trade_date,open,high,low,close,volume,timeframe,scraped_at
sekee,2026-08-31,2200100000.0,2235100000.0,2194800000.0,2235100000.0,,1D,2026-09-10 17:02:43
sekee,2026-09-01,2220050000.0,2220100000.0,2209800000.0,2215050000.0,,1D,2026-09-10 17:02:43
sekee,2026-09-02,2229800000.0,2280100000.0,2229800000.0,2279900000.0,,1D,2026-09-10 17:02:43
sekee,2026-09-03,2349850000.0,2350100000.0,2339800000.0,2340100000.0,,1D,2026-09-10 17:02:43
sekee,2026-09-05,2350050000.0,2375100000.0,2349800000.0,2374950000.0,,1D,2026-09-10 17:02:43
sekee,2026-09-06,2379950000.0,2385100000.0,2345049059.0,2339900000.0,,1D,2026-09-10 17:02:43
sekee,2026-09-07,2329900000.0,2330100000.0,2289800000.0,2300050000.0,,1D,2026-09-10 17:02:43
sekee,2026-09-08,2300100000.0,2350100000.0,2349950000.0,2349950000.0,,1D,2026-09-10 17:02:43
sekee,2026-09-09,2399800000.0,2420100000.0,2399800000.0,2420100000.0,,1D,2026-09-10 17:02:43
